Longitude,Latitude,pH,EC,OC,N,P,K,S,Z,Fe,Cu,M,B
73.34499,19.1022,7.1,0.239,1.16,810.54,14.37,70.77,5.95,4.21,64.87,6.27,57.12,0.18
73.34222,19.1039,7.08,0.177,1.31,914.35,29.05,1.06,12.46,0.72,25.67,3.45,50.26,0.1
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.34499,19.1022,6.83,0.259,0.97,679.57,51.02,222.89,3.83,1.64,18,3.35,59.94,0.14
73.355,19.3169,6.93,0.118,0.55,385.51,28.1,33.8,11.29,1.54,28.74,2.25,61.21,0.17
73.34222,19.1039,7.17,0.075,1.44,1008.21,15.21,1.06,18.56,1.54,43.04,4.02,56.05,0.13
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.34222,19.1033,8.31,0.078,0.97,679.57,20.92,144.72,6.84,1.39,67.46,4.42,65.37,0.11
73.34424,19.111,6.03,0.073,1.58,1105.24,13.84,79.22,8.34,1.35,120.18,4.27,46.95,0.2
73.34222,19.1039,6.39,0.096,1.69,1182.49,20.7,1.06,15.09,1.07,54.74,4.59,54.78,0.12
73.34499,19.1022,7.1,0.239,1.16,810.54,14.37,70.77,5.95,4.21,64.87,6.27,57.12,0.18
73.34499,19.1022,6.94,0.079,0.71,495.48,12.68,98.24,19.42,1.37,103.8,4.02,48.87,0.22
73.34222,19.1039,6.91,0.098,0.68,476.94,23.24,1.06,12.46,0.61,40.02,2.78,54.99,0.2
73.34222,19.1039,6.91,0.098,0.68,476.94,23.24,1.06,12.46,0.61,40.02,2.78,54.99,0.2
73.33407,19.1042,7.67,0.096,1.13,792.02,30.63,33.8,4.43,1.71,38.45,5.52,62.72,0.12
73.33407,19.1042,7.67,0.096,1.13,792.02,30.63,33.8,4.43,1.71,38.45,5.52,62.72,0.12
73.35108,19.3499,6.83,0.158,1.66,1163.37,23.56,165.84,12.75,1.64,49.52,2.99,48.66,0.08
73.34167,19.3483,6.39,1.52,0.9,632.64,22.18,99.3,14.8,0.97,34.04,2.36,23.62,0.09
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.34222,19.1039,6.48,0.105,0.84,586.93,36.44,121.48,13.04,0.72,43.46,2.29,16.28,0.21
73.34222,19.1039,7.05,0.096,1.33,932.87,31.58,173.24,18.56,1.24,48.45,5.77,16.74,0.15
73.34424,19.111,6.63,0.052,1.69,1182.49,23.77,73.94,13.04,0.93,339.71,3.37,62.15,0.12
73.34424,19.111,6.72,0.132,1.53,1068.19,21.23,176.41,11.88,1.39,19.22,6.3,55.02,0.2
73.34424,19.111,6.48,0.115,0.85,596.82,18.49,212.32,14.21,1.09,45.62,3.66,52.24,0.16
73.34222,19.1039,7.09,0.123,1.06,745.08,23.34,124.65,12.46,0.53,45.14,3.18,18.23,0.19
73.33028,19.1086,6.6,0.104,0.98,689.45,27.57,117.25,4.43,1.62,20.13,3.24,59.46,0.15
73.33028,19.1086,6.6,0.104,0.98,689.45,27.57,117.25,4.43,1.62,20.13,3.24,59.46,0.15
73.34499,19.1022,7.1,0.239,1.16,810.54,14.37,70.77,5.95,4.21,64.87,6.27,57.12,0.18
73.355,19.1695,6.52,0.165,0.68,476.94,24.61,62.32,17.69,0.59,15.75,1.45,34.34,0.14
73.34361,19.3358,6.85,0.104,1.45,1018.1,33.7,132.04,10.4,1.35,18.13,3.03,24.3,0.05
73.34222,19.1033,7.74,0.348,0.97,679.57,13.1,124.65,5.641,1.6,38.36,5.31,67.46,16
73.33407,19.1042,6.83,0.137,1.63,1144.19,12.89,266.2,9.21,6.53,60.11,4.67,69.54,0.06
73.33407,19.1042,6.83,0.137,1.63,1144.19,12.89,266.2,9.21,6.53,60.11,4.67,69.54,0.06
73.34424,19.111,6.72,0.063,0.67,467.06,32.96,66.55,30.11,2.34,77.12,4.11,62.32,0.12
73.34424,19.111,8.28,0.57,0.378,264.6,0.592,102.514,13.123,0.15,1.775,1.2,10.275,0.135
73.34424,19.111,8.28,0.57,0.378,264.6,0.592,102.514,13.123,0.15,1.775,1.2,10.275,0.135
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.355,19.3169,6.87,0.234,1.23,857.53,28.73,115.14,24.53,1.35,40.47,3.56,54.57,0.2
73.355,19.3169,6.87,0.234,1.23,857.53,28.73,115.14,24.53,1.35,40.47,3.56,54.57,0.2
73.355,19.3169,6.93,0.173,1.09,763.61,22.92,228.17,16.55,0.88,52.03,3.24,52.32,0.17
73.34222,19.1033,7.19,0.218,1.77,1239.9,12.68,180.63,5.64,2.46,44.76,5.22,67.84,0.21
